"aab-aalborg","AaB"
"sporting-charleroi","Sporting Charleroi"
"sporting-clube-de-goa","Sporting Clube de Goa"
"sporting-cristal","Sporting Cristal"
"sporting-de-cabinda","Sporting de Cabinda"
"sporting-fingal","Sporting Fingal"
"sporting-gagnoa","Sporting Gagnoa"
"sporting-gijon","Sporting Gijón"
"sporting-kansas-city","Sporting Kansas City"
"sporting-san-jose","Sporting San José FC"
"sporting-san-miguelito","Sporting San Miguelito"
"sportist-svoge","Sportist Svoge"
"sportive-de-djerba","Sportive de Djerba"
"sportivo-luqueno","Sportivo Luqueño"
"sportivo-trinidense","Sportivo Trinidense"
"sportul-studentesc","Sportul Studentesc"
"spyris-kaunas","FK Kauno Zalgiris"
"sriracha","Sriracha"
"ssc-napoli","SSC Napoli"
"st-george-kedus-giorgis","St. George"
"st-patricks","St Patrick's"
"st-pauli","St. Pauli"
"sta-gallen","FC St. Gallen 1879"
"sta-johnstone","St. Johnstone"
"sta-mirren","St. Mirren"
"stabaek","Stabæk"
"stade-dabidjan","Stade d'Abidjan"
"stade-gabesien","Stade Gabésien"
"stade-malien-bamako","Stade Malien Bamako"
"stade-malien-sikasso","Stade Malien Sikasso"
"stade-renard-melong","Stade Renard de Melong"
"stade-tunisien","Stade Tunisien"
"stal-dneprodzhezhinsk","Stal Kamianske"
"standard","Standard"
"standard-liege","Standard Liège"
"start","Start"
"steaua-bucuresti","Steaua Bucureşti"
"steel-azin","Steel Azin"
"stella-club","Stella Club"
"stellenbosch-vasco-da-gama-cape-town","Stellenbosch FC"
"stjarnan-fc","Stjarnan"
"stoke-city","Stoke City"
"stromsgodset","Strømsgodset"
"stumbras-kaunas","FC Stumbras"
"sturm-graz","Sturm Graz"
"suchitepequez","Suchitepéquez"
"sud-america","Sud América"
"suduva","Suduva Marijampole"
"sukhothai-fc","Sukhothai FC"
"sumqayit","Sumqayıt"
"sunderland","Sunderland"
"sunkar","Sunkar"
"sunshine-stars","Sunshine Stars"
"supersport-united","Supersport United"
"suphanburi-fc","Suphanburi FC"
"surkhon-termez","Surkhon-2011"
"sutjeska","Sutjeska"
"suva","Suva"
"suwon-bluewings","Suwon Bluewings"
"suwon-city","Suwon City"
"sv-roeselare","SV Roeselare"
"svetkavitsa","Svetkavitsa"
"swansea-city","Swansea City"
"sydney-fc","Sydney FC"
"syrianska","Syrianska"
"szolnoki-mav","Szolnoki MÁV"
"szombathelyi-haladas","Szombathelyi Haladás"
"t-tec","T&TEC"
"tacuarembo","Tacuarembó"
"tacuary","Tacuary"
"tadamon-sour","AL Tadamon Sour"
"tafea","Tafea FC"
"talinna-kalev","Talinna Kalev"
"talleres-cordoba","Talleres de Cordoba"
"tallinna-jk-legion","Tallinna JK Legion"
"tamme-auto","Tamme Auto"
"tammeka","Tammeka"
"tampere-united","Tampere United"
"tampereen-ilves","Ilves"
"tanta","Tanta"
"taraba","Taraba"
"taraz","Taraz"
"targu-mures","Târgu Mureş"
"tasman-united","Tasman United"
"tatran-presov","Tatran Prešov"
"tauro-fc","Tauro FC"
"tavriia","Tavriia"
"team-wellington","Team Wellington"
"techiman-eleven-wonders","Eleven Wonders FC"
"tecnico-universitario","Técnico Universitario"
"tefana","Tefana"
"telephonaat-beni-suef","Telephonaat Beni Suef"
"tema-youth","Tema Youth"
"tempete","Tempête"
"tenerife","Tenerife"
"teplice","Teplice"
"terek-grozny","FK Akhmat Grozny"
"termalica-bruk-bet-nieciecza","Termalica Nieciecza"
"thai-honda","Thai Honda"
"that-ras-club","That Ras Club"
"the-new-saints","The New Saints"
"the-strongest","The Strongest"
"thun","Thun"
"tianjin-quanjian","Tianjin Tianhai"
"tianjin-teda","Tianjin Teda"
"tiare-tahiti","Tiare Tahiti"
"tigre","Tigre"
"tigres-fc-expreso-rojo","Tigres FC"
"tigres-uanl","Tigres UANL"
"tijuana-xolos","Club Tijuana"
"tiko-united","Tiko United"
"timisoara","Timişoara"
"tiraspol","Tiraspol"
"tivoli-gardens-fc","Tivoli Gardens"
"tlemcen","Tlemcen"
"tobago-united","Tobago United"
"tobol-kostanay","Tobol Kostanay"
"togo-port","Togo-Port"
"tokushima-vortis","Tokushima Vortis"
"tolima","Tolima"
"toluca","Toluca FC"
"tom-tomsk","Tom' Tomsk"
"tondela","Tondela"
"tonnerre-kalara","Tonnerre Kalara Club"
"torino","Torino"
"tornados-de-humacao","Tornados de Humacao"
"toronto-fc","Toronto FC"
"torpedo-kutaisi","Torpedo Kutaisi"
"torpedo-zhodino","Torpedo Zhodino"
"tot","TOT"
"total-chalaco","Total Chalaco"
"tottenham-hotspur","Tottenham Hotspur"
"toulouse","Toulouse"
"township-rollers","Township Rollers"
"tp-mazembe","TP Mazembe"
"trabzonspor","Trabzonspor"
"tractor-sazi","Tractor Sazi"
"traku-fk","FK Riteriai"
"trans-narva","Narva Trans"
"trat-fc","Trat FC"
"trau-fc","TRAU F.C."
"travnik","Travnik"
"trelleborg-ff","Trelleborgs FF"
"trencin","Trenčín"
"triangle-fc","Triangle FC"
"tripoli-sc","Tripoli AC"
"tripple-b","Tripple B"
"tromsoe-il","Tromsø IL"
"troyes","Troyes"
"trujillanos-fc","Trujillanos FC"
"ts-galaxy","TS Galaxy"
"tsarsko-selo","FC Tsarsko Selo Sofia 2015"
"tshakhuma-fc","Tshakhuma FC"
"tshinkunku","Tshinkunku"
"tsholotsho","Tsholotsho"
"tskhinvali","FC Tskhinvali"
"tsv-hartberg","TSV Hartberg"
"ttm-chiangmai","TTM Chiangmai"
"tucanes-fc","Tucanes FC"
"tukoko-university","Tukoko University"
"tulevik-viljandi","Tulevik Viljandi"
"tupapa-maraerenga","Tupapa Maraerenga"
"turan-tovuz","Turan Tovuz"
"turku-ps","Turku PS"
"turnu-severin","Turnu Severin"
"ubon-umt-fc","Ubon UMT FC"
"ucd-university-college-dublin-football-club","University College Dublin"
"udinese","Udinese"
"ues","UES"
"ujpest","Újpest"
"ulsan-hyundai","Ulsan Hyundai"
"umm-salal","Umm-Salal"
"unan-managua","UNAN Managua"
"underhill","Underhill"
"uniao-da-madeira","Uniao da Madeira"
"uniao-de-leiria","União de Leiria"
"uniao-sport-clube-do-uige","Uniao Sport Clube do Uige"
"uniautonoma","Uniautónoma FC"
"union-comercio","Unión Comercio"
"union-de-loum","UMS de Loum"
"union-espanola","Unión Española"
"union-la-calera","Unión La Calera"
"union-san-felipe","Unión San Felipe"
"union-santa-fe","Unión Santa Fe"
"union-sportive-douala","Union Sportive de Douala"
"union-st-gilloise","Union St.-Gilloise"
"unirea-alba-iulia","Unirea Alba Iulia"
"unirea-urziceni","Unirea Urziceni"
"unisport-du-haut-nkam","Unisport FC Du Haut-Nkam"
"united-petrotrin","United Petrotrin"
"united-sikkim-fac","United Sikkim F.C"
"united-sports-club-prayang","United Sports Club"
"universidad-catolica-quito","Universidad Católica"
"universidad-catolica-santiago","Universidad Católica"
"universidad-cesar-vallejo","Universidad César Vallejo"
"universidad-concepcion","Universidad Concepción"
"universidad-de-chile","Universidad de Chile"
"universidad-de-costa-rica","La U Universitarios"
"universidad-de-san-carlos","Universidad de San Carlos"
"universidad-san-martin-de-porres","Universidad San Martín de Porres"
"universitario-de-deportes","Universitario de Deportes"
"universitario-pando-cobija","Universitario de Cobija"
"universitario-sucre","Universitario"
"universitatea-cluj","Universitatea Cluj"
"universitatea-craiova","Universitatea Craiova"
"universite-ngaoundere","Université Ngaoundéré"
"urana","Urana"
"urawa-red-diamonds","Urawa Red Diamonds"
"urena-sc","Urena SC"
"us-biskra","US Biskra"
"us-bitam","US Bitam"
"us-monastir","US Monastir"
"us-tataouine","US Tataouine"
"usfas-bamako","USFAS Bamako"
"usgn","USGN"
"usm-alger","USM Alger"
"usm-bel-abbes","USM Bel Abbès"
"usm-blida","USM Blida"
"usm-el-harrach","USM El Harrach"
"usti-nad-labem","Ústí nad Labem"
"uta-btrana-doamn","AFC UTA Arad"
"uwi-fc","UWI FC"
"v-varen-nagasaki","V-Varen Nagasaki"
"valencia","Valencia"
"valencia-de-leogane","Valencia de Leogane"
"valenciennes","Valenciennes"
"valerenga","Vålerenga"
"valladolid","Real Valladolid"
"valmieras-fk","Valmiera FK"
"vancouver-whitecaps","Vancouver Whitecaps"
"varbergs-bois","Varbergs BoIS"
"varda-se","Varda SE"
"vasas-budapest","Vasas Budapest"
"vasco-da-gama-rio-de-janeiro","Vasco da Gama"
"vegalta-sendai","Vegalta Sendai"
"vejle-boldklub","Vejle Boldklub"
"velez-mostar","Velež Mostar"
"velez-sarsfield","Vélez Sarsfield"
"vendsyssel-ff","Vendsyssel FF"
"ventforet-kofu","Ventforet Kofu"
"ventspils","Ventspils"
"venus-tahiti","Venus"
"veracruz-tiburones","Tiburones Rojos de Veracruz"
"verdes-fc","Verdes FC"
"vere-united-fc","Vere United FC"
"veres-rivne","Veres Rivne"
"vereya","Vereya"
"veria-fc","Veria FC"
"vestsjaelland","Vestsjælland"
"veti-club","Veti Club"
"vfb-stuttgart","VfB Stuttgart"
"viborg","Viborg"
"victoria-branesti","Victoria Branesti"
"victoria-la-ceiba","Victoria"
"victoria-masvingo","Victoria"
"viitorul-constanta","Viitorul Constanţa"
"viking","Viking FK"
"viktoria-plzen","Viktoria Plzeň"
"viktoria-zizkov","Viktoria Žižkov"
"villa-espanola","Villa Espanola"
"villa-teresa","Villa Teresa"
"villarreal","Villarreal"
"virunga","Virunga"
"vissel-kobe","Vissel Kobe"
"vista-hermosa","Vista Hermosa"
"vita-club","Vita Club"
"vitebsk","FK Vitebsk"
"vitesse","Vitesse"
"vitez","Vitez"
"vitoria-guimaraes","Vitória Guimarães"
"vitoria-salvador","Vitória"
"vitoria-setubal","Vitória Setúbal"
"vitosha-bistritsa","Vitosha Bistritsa"
"vointa-sibiu","Voinţa Sibiu"
"vojvodina","Vojvodina"
"volga-nyzhnyi","Volga Nyzhnyi"
"volos-nfc","Volos New Football Club"
"volyn","Volyn"
"vorskla","Vorskla Poltava"
"vostok","Vostok"
"vozdovac","Voždovac"
"vps","VPS"
"vutuka","Vutuka"
"vvv","VVV-Venlo"
"vysocina-jihlava","Vysočina Jihlava"
"w-connection-fc","W Connection FC"
"waasland-beveren","Waasland-Beveren"
"wad-hashim-sennar","Wad Hashim SC Sennar"
"wadi-degla-fc","Wadi Degla FC"
"waikato-fc","WaiBOP United"
"waitakere-united","Waitakere United"
"wanderers-sc","Wanderers SC"
"warrenpoint-town","Warrenpoint Town"
"warri-wolves-fc","Warri Wolves FC"
"warrior","Warrior"
"wassaman-united","Wassaman United"
"Waterford FC","Waterford FC"
"waterford-united","Waterford United FC"
"waterhouse-fc-kingston","Waterhouse FC"
"watford","Watford"
"wellington-phoenix","Wellington Phoenix"
"wellington-phoenix-reserves","Wellington Phoenix Reserves"
"welshpool-town","Welshpool Town"
"werder-bremen","Werder Bremen"
"west-africa-football-academy","Sogakope WAFA"
"west-brom","West Brom"
"west-ham-united","West Ham United"
"westerlo","Westerlo"
"western-sydney","Western Sydney"
"western-united-fc","Western United FC"
"wexford-youths","Wexford Youths"
"whawha","WhaWha"
"widzew-lodz","Widzew Łódz"
"wiener-neustadt","Wiener Neustadt"
"wigan-athletic","Wigan Athletic"
"wikki-tourist","Wikki Tourist"
"wiliete-sc","Wiliete SC"
"willem-ii","Willem II"
"williamsville-athletic-club","Williamsville Athletic Club"
"wisla-krakow","Wisła Kraków"
"wisla-plock-sa","Wisła Płock"
"wit-georgia-tbilisi","WIT Georgia Tbilisi"
"wolfsberger-ac","Wolfsberger AC"
"wolfsburg","Wolfsburg"
"wolverhampton-wanderers","Wolverhampton Wanderers"
"wsg-swarovski-wattens-tirol","WSG Swarovski Tirol"
"wuachon-united","Wuachon United"
"wuhan-zall","Wuhan Zall"
"wws-rangers","WWS Rangers"
"wydad-casablanca","Wydad Casablanca"
"wydad-fes","Wydad Fès"
"xanthi","Xanthi FC"
"xelaju","Xelajú"
"xinabajul","Xinabajul"
"xorazm","Xorazm"
"yafoot-fc-yaounde-2","Yafoot FC Yaounde 2"
"yanbian","Yanbian"
"yaracuyanos-fc","Yaracuyanos FC"
"yeni-malatyaspor","Yeni Malatyaspor"
"yobe-desert-stars","Yobe Desert Stars"
"yokohama-fa-marinos","Yokohama F. Marinos"
"yokohama-fc","Yokohama FC"
"yopougon-fc","Yopougon FC"
"young-africans-dar-es-salaam","Young Africans"
"young-boys","Young Boys"
"young-green-eagles","Young Green Eagles"
"young-heart-manawatu","Young Heart Manawatu"
"young-sport-academy","Young Sport Academy Bamenda"
"zacapa","Zacapa"
"zaglebie-lubin","Zagłębie Lubin"
"zaglebie-sosnowiec-sa","Zagłębie Sosnowiec"
"zalaegerszegi-te","Zalaegerszegi TE"
"zalgiris-vilnius","Zalgiris Vilnius"
"zamfara-united-fc","Zamfara United FC"
"zamora-fc","Zamora FC"
"zanaco","Zanaco"
"zapresic","Zaprešić"
"zarzis","Zarzis"
"zavrc","Zavrč"
"zawisza-bydgoszcz","Zawisza Bydgoszcz"
"zeljeznicar","Željezničar"
"zemplin-michalovce","Zemplin Michalovce"
"zenit-petersburg","Zenit St. Petersburg"
"zesco-united","ZESCO United"
"zestafoni","Zestafoni"
"zeta","Zeta"
"zhetysu-taldykorgan","Zhetysu Taldykorgan"
"zilina","Žilina"
"zimbabwe-saints","Zimbabwe Saints"
"zimbru","Zimbru"
"zira","Zirə"
"zlate-moravce","Zlate Moravce"
"zlin","FC Fastav Zlin"
"znojmo","Znojmo"
"zob-ahan","Zob Ahan Isfahan FC"
"zorya","Zorya Luhansk"
"zpc-kariba","ZPC Kariba"
"zrinjski-mostar","Zrinjski Mostar"
"zulia","Zulia"
"zulte-waregem","Zulte Waregem"
"zumunta","Zumunta"
"zurich","Zürich"
"1-fc-union-berlin","1. FC Union Berlin"
"12-de-octubre-de-itaugua","12 de Octubre de Itaugua"
"1o-de-agosto","1º de Agosto"
"1o-de-maio","1º de Maio"
"2-de-mayo","2 de Mayo"
"3-de-febrero","3 de Febrero"
